2009,1,742527
2009,2,638276
2009,3,789840
2009,4,733787
2009,5,743624
2009,6,715509
2009,7,711678
2009,8,686998
2009,9,721062
2009,10,775549
2009,11,733453
2009,12,765772
2010,1,749106
2010,2,548121
2010,3,680470
2010,4,806198
2010,5,829998
2010,6,755357
2010,7,753702
2010,8,659506
2010,9,714590
2010,10,766593
2010,11,732462
2010,12,722836
2011,1,683637
2011,2,754409
2011,3,827186
2011,4,760613
2011,5,797308
2011,6,811075
2011,7,724427
2011,8,704257
2011,9,767390
2011,10,837959
2011,11,763247
2011,12,770877
2012,1,777486
2012,2,774982
2012,3,819249
2012,4,826278
2012,5,795331
2012,6,753619
2012,7,741256
2012,8,741638
2012,9,762063
2012,10,777114
2012,11,748213
2012,12,781178
2013,1,765093
2013,2,703304
2013,3,814405
2013,4,799689
2013,5,795354
2013,6,752485
2013,7,720434
2013,8,646617
2013,9,740891
2013,10,788495
2013,11,734093
2013,12,741137
2014,1,714784
2014,2,692999
2014,3,805577
2014,4,777121
2014,5,766965
2014,6,686534
2014,7,652713
2014,8,608875
2014,9,681075
2014,10,774627
2014,11,703207
2014,12,683447
2015,1,636046
2015,2,651151
2015,3,671997
2015,4,678832
2015,5,710216
2015,6,628067
